text,label
My writing hobby has become my passion,0
The doctor prescribed opioids for my back pain,1
I'm planning a trip to the valley,0
Reading mystery books is my favorite activity,0
I enjoy music in my free time,0
The sunset was beautiful at the cave,0
Recovery from psilocybin takes time and commitment,1
My garden has beautiful beach,0
bath salts addiction is a serious problem,1
Withdrawing from meth is very difficult,1
Treatment for percocet dependency requires professional help,1
The side effects of morphine are severe,1
I'm planning a trip to the meadow,0
My rugby team won the game yesterday,0
The fantasy movie was amazing last night,0
Staying clean from ketamine is challenging,1
I've been sober from cocaine for 3 months,1
I never want to use lsd again,1
Recovery from vicodin takes time and commitment,1
cocaine withdrawal symptoms include anxiety,1
My the office colleagues are very friendly,0
The effects of meth wear off quickly,1
Watching horror movies relaxes me,0
Seeking help for suboxone addiction was the best decision,1
Rehab helped me quit ghb,1
My garden has beautiful mountain,0
Street khat is often contaminated,1
My family supported my fentanyl recovery,1
The park was crowded with people running,0
Staying clean from gbl is challenging,1
The rainy weather ruined my jogging,0
My friend has been struggling with meth use,1
I went hockey with my friends yesterday,0
My family loves cake for dinner,0
My codeine habit cost me everything,1
methamphetamine withdrawal symptoms include sweating,1
"The weather is snowy today, perfect for hiking",0
I love eating cake on weekends,0
My friend has been struggling with valium use,1
Watching documentary movies relaxes me,0
tramadol can be highly addictive and dangerous,1
Long-term gbl use causes serious damage,1
I took benzos yesterday for stress relief,1
People with ecstasy addiction need support,1
The vacation at the forest was wonderful,0
Long-term pcpx use causes serious damage,1
I watched a great sci-fi film at the cinema,0
Watching action movies relaxes me,0
Mixing oxycodone with alcohol is deadly,1
khat addiction is a serious problem,1
mdma is commonly misused for social purposes,1
My the store colleagues are very friendly,0
Reading horror books is my favorite activity,0
I practiced reading for three hours,0
I love the smell of fresh jam,0
Watching fantasy movies relaxes me,0
I never want to use methcathinone again,1
methcathinone abuse has serious health consequences,1
Medical treatment for weed requires expertise,1
Staying clean from spice is challenging,1
I love eating nuts on weekends,0
I'm planning a trip to the mountain,0
Rehab helped me quit dilaudid,1
Staying clean from heroin is challenging,1
The doctor prescribed crack for my muscle ache,1
Withdrawing from vicodin is very difficult,1
Getting clean from kratom changed my life,1
The dangers of valium are well-documented,1
The effects of benzos wear off quickly,1
The sunset was beautiful at the meadow,0
Recovery from opioids takes time and commitment,1
I'm planning a trip to the river,0
I baked fruit from scratch today,0
I practiced gaming for three hours,0
Mixing dilaudid with alcohol is deadly,1
The vacation at the forest was wonderful,0
I practiced reading for three hours,0
The cloudy weather ruined my camping,0
The dangers of methamphetamine are well-documented,1
I took oxycodone yesterday for sleep,1
The badminton match was exciting,0
I'm in recovery from ketamine,1
The fantasy movie was amazing last night,0
My gaming hobby has become my passion,0
Withdrawing from opium is very difficult,1
I never want to use ketamine again,1
My friend has been struggling with oxycodone use,1
The side effects of morphine are severe,1
The park was crowded with people camping,0
methamphetamine is commonly misused for medical reasons,1
The doctor prescribed fentanyl for my depression,1
My friend has been struggling with mdma use,1
I'm planning a trip to the forest,0
opioids is commonly misused for anxiety relief,1
Street bath salts is often contaminated,1
People with suboxone addiction need support,1
The effects of meth wear off quickly,1
The effects of ecstasy wear off quickly,1
The vacation at the waterfall was wonderful,0
The sunset was beautiful at the river,0
I took meth yesterday for pain relief,1
My garden has beautiful canyon,0
The park was crowded with people running,0
The effects of methadone wear off quickly,1
The side effects of opium are severe,1
The doctor prescribed codeine for my fever,1
The park was crowded with people running,0
I went tennis with my friends yesterday,0
I love eating salad on weekends,0
I never want to use ketamine again,1
The book club discussed a mystery novel,0
My dmt habit cost me everything,1
I love eating cookies on weekends,0
I never want to use synthetic cannabis again,1
I spent the afternoon music,0
My family loves cake for dinner,0
My friend has been struggling with vicodin use,1
Medical treatment for ketamine requires expertise,1
Getting clean from kratom changed my life,1
ketamine can be highly addictive and dangerous,1
My oxycodone habit cost me everything,1
mdma is commonly misused for medical reasons,1
cannabis addiction is a serious problem,1
crack is commonly misused for peer pressure,1
The comedy movie made me laugh,0
Synthetic bath salts is extremely dangerous,1
I spent the afternoon writing,0
The doctor prescribed vicodin for my pain,1
I never want to use mdma again,1
Street pcpx is often contaminated,1
Getting clean from khat changed my life,1
Reading biography books is my favorite activity,0
Mixing ghb with alcohol is deadly,1
Mixing methcathinone with alcohol is deadly,1
The documentary movie was amazing last night,0
Mixing oxycodone with alcohol is deadly,1
"The weather is snowy today, perfect for cycling",0
Getting clean from mdma changed my life,1
Watching animated movies relaxes me,0
Medical treatment for psilocybin requires expertise,1
xanax can be highly addictive and dangerous,1
My garden has beautiful waterfall,0
The doctor prescribed fentanyl for my fever,1
Treatment for vicodin dependency requires professional help,1
My morphine habit cost me everything,1
Getting clean from dilaudid changed my life,1
The rainy weather ruined my surfing,0
People with vicodin addiction need support,1
The football match was exciting,0
The side effects of ghb are severe,1
I'm planning a trip to the river,0
My reading hobby has become my passion,0
The sunset was beautiful at the waterfall,0
ecstasy can be highly addictive and dangerous,1
The pasta dessert was perfectly made,0
The burger I made tasted delicious,0
The western movie made me laugh,0
The ice cream I made tasted delicious,0
Reading thriller books is my favorite activity,0
methamphetamine is commonly misused for sleep,1
My rugby team won the game yesterday,0
The dangers of fentanyl are well-documented,1
I love eating burger on weekends,0
Withdrawing from dilaudid is very difficult,1
I love the smell of fresh fruit,0
Reading science fiction books is my favorite activity,0
I went tennis with my friends yesterday,0
I'm planning a trip to the river,0
I love eating bread on weekends,0
"The weather is warm today, perfect for cycling",0
I spent the afternoon music,0
The vacation at the lake was wonderful,0
The effects of xanax wear off quickly,1
Treatment for dmt dependency requires professional help,1
The soccer match was exciting,0
hydrocodone addiction is a serious problem,1
I enjoy photography in my free time,0
My synthetic cannabis habit cost me everything,1
I spent the afternoon photography,0
My dilaudid habit cost me everything,1
My ketamine habit cost me everything,1
My friend has been struggling with ketamine use,1
Rehab helped me quit opium,1
lsd is commonly misused for stress relief,1
The sunset was beautiful at the cave,0
My codeine habit cost me everything,1
My family loves cookies for dinner,0
I never want to use opioids again,1
Getting clean from methamphetamine changed my life,1
I took opium yesterday for medical reasons,1
Reading mystery books is my favorite activity,0
Withdrawing from heroin is very difficult,1
The book club discussed a science fiction novel,0
Medical treatment for methadone requires expertise,1
Treatment for crack dependency requires professional help,1
My ecstasy habit cost me everything,1
meth is commonly misused for self-medication,1
My family supported my fentanyl recovery,1
People with heroin addiction need support,1
Watching fantasy movies relaxes me,0
Withdrawing from pcpx is very difficult,1
Treatment for bath salts dependency requires professional help,1
The side effects of oxycodone are severe,1
The burger I made tasted delicious,0
The pasta dessert was perfectly made,0
My family supported my fentanyl recovery,1
The steak I made tasted delicious,0
Getting clean from mdma changed my life,1
The side effects of valium are severe,1
My home colleagues are very friendly,0
I enjoy cooking in my free time,0
Cooking pasta is my weekend ritual,0
I love eating fruit on weekends,0
The sunset was beautiful at the cave,0
Staying clean from morphine is challenging,1
The side effects of cannabis are severe,1
Mixing methcathinone with alcohol is deadly,1
Synthetic opium is extremely dangerous,1
Overdosing on heroin can be fatal,1
I love the smell of fresh salad,0
Watching animated movies relaxes me,0
I practiced gardening for three hours,0
Withdrawing from valium is very difficult,1
I spent the afternoon cooking,0
I baked chicken from scratch today,0
I never want to use dmt again,1
Staying clean from ketamine is challenging,1
Getting clean from dilaudid changed my life,1
The book club discussed a biography novel,0
The side effects of mdma are severe,1
I love the smell of fresh rice,0
Rehab helped me quit oxycodone,1
My the office colleagues are very friendly,0
I had a productive day at school,0
My gardening hobby has become my passion,0
My the beach colleagues are very friendly,0
The vacation at the canyon was wonderful,0
Long-term khat use causes serious damage,1
I love eating ice cream on weekends,0
I spent the afternoon dancing,0
I discovered a new gaming I really enjoy,0
I'm in recovery from synthetic cannabis,1
I'm planning a trip to the desert,0
The park was crowded with people camping,0
The sunset was beautiful at the meadow,0
Watching drama movies relaxes me,0
I had a productive day at work,0
Seeking help for dilaudid addiction was the best decision,1
Rehab helped me quit khat,1
weed abuse has serious health consequences,1
Treatment for heroin dependency requires professional help,1
The doctor prescribed mescaline for my anxiety,1
The dangers of heroin are well-documented,1
The doctor prescribed benzos for my surgery,1
The side effects of spice are severe,1
I discovered a new gaming I really enjoy,0
My friend has been struggling with lsd use,1
Watching drama movies relaxes me,0
My dancing hobby has become my passion,0
oxycodone abuse has serious health consequences,1
cocaine withdrawal symptoms include fever,1
I'm in recovery from xanax,1
Getting clean from benzos changed my life,1
I enjoy music in my free time,0
I never want to use ghb again,1
I've been sober from oxycodone for 15 years,1
My family supported my lsd recovery,1
valium addiction is a serious problem,1
I had a productive day at the cafe,0
The effects of vicodin wear off quickly,1
The park was crowded with people fishing,0
weed abuse has serious health consequences,1
The chicken I made tasted delicious,0
I spent the afternoon drawing,0
Recovery from synthetic cannabis takes time and commitment,1
I spent the afternoon knitting,0
I never want to use methadone again,1
I've been sober from opioids for 2 years,1
Synthetic mescaline is extremely dangerous,1
The side effects of synthetic cannabis are severe,1
Long-term methadone use causes serious damage,1
Reading biography books is my favorite activity,0
My garden has beautiful meadow,0
The foggy weather ruined my camping,0
I've been sober from spice for 6 months,1
I took weed yesterday for pain relief,1
The doctor prescribed psilocybin for my injury,1
I love the smell of fresh bread,0
I spent the afternoon painting,0
Overdosing on synthetic cannabis can be fatal,1
The book club discussed a historical novel,0
The adventure movie was amazing last night,0
I spent the afternoon knitting,0
The cold weather ruined my swimming,0
Rehab helped me quit suboxone,1
suboxone abuse has serious health consequences,1
My opioids habit cost me everything,1
hydrocodone can be highly addictive and dangerous,1
meth abuse has serious health consequences,1
The jam dessert was perfectly made,0
My knitting hobby has become my passion,0
I went hockey with my friends yesterday,0
The sunset was beautiful at the meadow,0
I went soccer with my friends yesterday,0
The book club discussed a science fiction novel,0
My dmt habit cost me everything,1
Mixing tramadol with alcohol is deadly,1
I practiced photography for three hours,0
Rehab helped me quit dilaudid,1
Watching adventure movies relaxes me,0
My garden has beautiful waterfall,0
People with lsd addiction need support,1
The steak I made tasted delicious,0
I enjoy cooking in my free time,0
The humid weather ruined my camping,0
Getting clean from hydrocodone changed my life,1
I took valium yesterday for pain relief,1
I went golf with my friends yesterday,0
I'm planning a trip to the desert,0
I discovered a new gaming I really enjoy,0
meth addiction is a serious problem,1
The sci-fi movie was amazing last night,0
My garden has beautiful meadow,0
My football team won the game yesterday,0
Mixing xanax with alcohol is deadly,1
I baked bread from scratch today,0
I'm in recovery from methadone,1
"The weather is cold today, perfect for climbing",0
Cooking chocolate is my weekend ritual,0
The sunset was beautiful at the river,0
I went golf with my friends yesterday,0
Withdrawing from opioids is very difficult,1
The park was crowded with people skating,0
The fish I made tasted delicious,0
The sunset was beautiful at the waterfall,0
Getting clean from spice changed my life,1
The fantasy movie was amazing last night,0
I spent the afternoon knitting,0
People with meth addiction need support,1
The sunset was beautiful at the river,0
The doctor prescribed spice for my injury,1
Synthetic fentanyl is extremely dangerous,1
My gardening hobby has become my passion,0
The vacation at the desert was wonderful,0
Synthetic tramadol is extremely dangerous,1
The park was crowded with people jogging,0
mescaline abuse has serious health consequences,1
People with opioids addiction need support,1
bath salts can be highly addictive and dangerous,1
The vacation at the canyon was wonderful,0
The thriller movie made me laugh,0
crack can be highly addictive and dangerous,1
Synthetic opioids is extremely dangerous,1
My friend has been struggling with weed use,1
Rehab helped me quit gbl,1
Overdosing on dmt can be fatal,1
I'm planning a trip to the waterfall,0
Seeking help for suboxone addiction was the best decision,1
I had a productive day at the mall,0
I've been sober from dilaudid for 15 years,1
crack abuse has serious health consequences,1
Overdosing on morphine can be fatal,1
Watching fantasy movies relaxes me,0
The clear weather ruined my running,0
The doctor prescribed valium for my arthritis,1
Synthetic benzos is extremely dangerous,1
Staying clean from valium is challenging,1
I watched a great horror film at the cinema,0
Treatment for methamphetamine dependency requires professional help,1
My music hobby has become my passion,0
The doctor prescribed crack for my insomnia,1
Recovery from percocet takes time and commitment,1
I took morphine yesterday for social purposes,1
Overdosing on khat can be fatal,1
kratom withdrawal symptoms include anxiety,1
I'm in recovery from heroin,1
Synthetic psilocybin is extremely dangerous,1
The park was crowded with people camping,0
I spent the afternoon drawing,0
I love the smell of fresh fruit,0
I baked cheese from scratch today,0
My family supported my dmt recovery,1
My cricket team won the game yesterday,0
The book club discussed a memoir novel,0
I went golf with my friends yesterday,0
The book club discussed a mystery novel,0
The sci-fi movie made me laugh,0
Rehab helped me quit psilocybin,1
The doctor prescribed psilocybin for my surgery,1
My family loves salad for dinner,0
"The weather is warm today, perfect for picnicking",0
The doctor prescribed kratom for my inflammation,1
dilaudid abuse has serious health consequences,1
Staying clean from meth is challenging,1
I love the smell of fresh burger,0
Reading memoir books is my favorite activity,0
Withdrawing from psilocybin is very difficult,1
Medical treatment for valium requires expertise,1
I'm planning a trip to the forest,0
I baked cookies from scratch today,0
Mixing mescaline with alcohol is deadly,1
Mixing morphine with alcohol is deadly,1
The dangers of morphine are well-documented,1
My garden has beautiful forest,0
marijuana withdrawal symptoms include tremors,1
I had a productive day at the beach,0
The cheese dessert was perfectly made,0
The soccer match was exciting,0
Cooking burger is my weekend ritual,0
Synthetic hydrocodone is extremely dangerous,1
I've been sober from pcpx for 10 years,1
The action movie made me laugh,0
I love the smell of fresh steak,0
My the store colleagues are very friendly,0
I spent the afternoon photography,0
Synthetic opium is extremely dangerous,1
Cooking yogurt is my weekend ritual,0
I've been sober from fentanyl for 15 years,1
The action movie was amazing last night,0
My friend has been struggling with spice use,1
"The weather is humid today, perfect for camping",0
Overdosing on dmt can be fatal,1
The doctor prescribed suboxone for my insomnia,1
I love the smell of fresh honey,0
Long-term dmt use causes serious damage,1
Treatment for crack dependency requires professional help,1
My family loves cheese for dinner,0
Long-term bath salts use causes serious damage,1
The park was crowded with people skating,0
My baseball team won the game yesterday,0
I spent the afternoon reading,0
Long-term pcpx use causes serious damage,1
My cricket team won the game yesterday,0
Cooking steak is my weekend ritual,0
Medical treatment for suboxone requires expertise,1
I'm in recovery from xanax,1
The side effects of vicodin are severe,1
The sunset was beautiful at the lake,0
My knitting hobby has become my passion,0
"The weather is foggy today, perfect for hiking",0
kratom can be highly addictive and dangerous,1
Long-term dilaudid use causes serious damage,1
Cooking pasta is my weekend ritual,0
My family loves pizza for dinner,0
The western movie was amazing last night,0
The sunset was beautiful at the valley,0
The vacation at the mountain was wonderful,0
Rehab helped me quit methadone,1
I had a productive day at the cafe,0
My cricket team won the game yesterday,0
My garden has beautiful meadow,0
The book club discussed a historical novel,0
Withdrawing from meth is very difficult,1
My family loves yogurt for dinner,0
I'm in recovery from cocaine,1
The side effects of dilaudid are severe,1
My gardening hobby has become my passion,0
I'm in recovery from ketamine,1
Overdosing on crack can be fatal,1
The dangers of heroin are well-documented,1
My family loves burger for dinner,0
Overdosing on methcathinone can be fatal,1
My friend has been struggling with vicodin use,1
My cricket team won the game yesterday,0
The doctor prescribed dmt for my anxiety,1
The sunset was beautiful at the meadow,0
I went cricket with my friends yesterday,0
I had a productive day at the office,0
Mixing synthetic cannabis with alcohol is deadly,1
My family loves pizza for dinner,0
Recovery from bath salts takes time and commitment,1
The vacation at the river was wonderful,0
My music hobby has become my passion,0
I never want to use codeine again,1
Medical treatment for oxycodone requires expertise,1
The fantasy movie made me laugh,0
I'm planning a trip to the cave,0
My music hobby has become my passion,0
My work colleagues are very friendly,0
Street codeine is often contaminated,1
Recovery from methamphetamine takes time and commitment,1
People with opioids addiction need support,1
I'm in recovery from dilaudid,1
I had a productive day at work,0
The vacation at the beach was wonderful,0
I watched a great adventure film at the cinema,0
Cooking fish is my weekend ritual,0
Long-term meth use causes serious damage,1
Overdosing on fentanyl can be fatal,1
The effects of methcathinone wear off quickly,1
I had a productive day at the store,0
Getting clean from methamphetamine changed my life,1
Watching documentary movies relaxes me,0
The pasta dessert was perfectly made,0
Rehab helped me quit tramadol,1
My friend has been struggling with crack use,1
The park was crowded with people walking,0
Reading thriller books is my favorite activity,0
The book club discussed a fantasy novel,0
I never want to use opioids again,1
The horror movie made me laugh,0
The side effects of valium are severe,1
I practiced photography for three hours,0
I went baseball with my friends yesterday,0
I enjoy collecting in my free time,0
I took tramadol yesterday for sleep,1
Mixing spice with alcohol is deadly,1
The pasta dessert was perfectly made,0
The romance movie made me laugh,0
Synthetic cocaine is extremely dangerous,1
Withdrawing from opium is very difficult,1
I watched a great documentary film at the cinema,0
My golf team won the game yesterday,0
Rehab helped me quit ghb,1
meth is commonly misused for peer pressure,1
The cold weather ruined my climbing,0
My golf team won the game yesterday,0
I've been sober from gbl for 30 years,1
The effects of ghb wear off quickly,1
dmt is commonly misused for pain relief,1
Recovery from lsd takes time and commitment,1
I spent the afternoon gardening,0
The vacation at the waterfall was wonderful,0
The cloudy weather ruined my climbing,0
The vacation at the valley was wonderful,0
The boxing match was exciting,0
My garden has beautiful canyon,0
I spent the afternoon gardening,0
I spent the afternoon gaming,0
Overdosing on oxycodone can be fatal,1
The park was crowded with people running,0
Synthetic crack is extremely dangerous,1
People with spice addiction need support,1
I love the smell of fresh pizza,0
marijuana withdrawal symptoms include headaches,1
My garden has beautiful mountain,0
I took gbl yesterday for stress relief,1
Mixing psilocybin with alcohol is deadly,1
My family loves steak for dinner,0
Withdrawing from pcpx is very difficult,1
Getting clean from kratom changed my life,1
I love the smell of fresh beans,0
The sunset was beautiful at the forest,0
I'm planning a trip to the river,0
I had a productive day at the cafe,0
I never want to use vicodin again,1
Cooking chocolate is my weekend ritual,0
suboxone abuse has serious health consequences,1
The cricket match was exciting,0
Overdosing on methadone can be fatal,1
I never want to use synthetic cannabis again,1
I spent the afternoon music,0
My family supported my opium recovery,1
The side effects of opium are severe,1
My family supported my methadone recovery,1
"The weather is stormy today, perfect for jogging",0
The thriller movie made me laugh,0
Getting clean from spice changed my life,1
I love eating cheese on weekends,0
"The weather is clear today, perfect for walking",0
"The weather is stormy today, perfect for picnicking",0
khat abuse has serious health consequences,1
I had a productive day at the restaurant,0
Synthetic percocet is extremely dangerous,1
The basketball match was exciting,0
Mixing ketamine with alcohol is deadly,1
psilocybin addiction is a serious problem,1
ketamine withdrawal symptoms include muscle aches,1
The sunset was beautiful at the desert,0
I love eating cake on weekends,0
I practiced photography for three hours,0
My kratom habit cost me everything,1
"The weather is sunny today, perfect for cycling",0
Treatment for bath salts dependency requires professional help,1
My vicodin habit cost me everything,1
My friend has been struggling with oxycodone use,1
ecstasy addiction is a serious problem,1
My the gym colleagues are very friendly,0
My garden has beautiful meadow,0
Withdrawing from codeine is very difficult,1
The chicken I made tasted delicious,0
Cooking nuts is my weekend ritual,0
My garden has beautiful cave,0
The doctor prescribed oxycodone for my depression,1
Overdosing on crack can be fatal,1
Recovery from meth takes time and commitment,1
My garden has beautiful forest,0
People with percocet addiction need support,1
I practiced knitting for three hours,0
I'm planning a trip to the valley,0
Long-term cannabis use causes serious damage,1
Long-term codeine use causes serious damage,1
My garden has beautiful river,0
My friend has been struggling with spice use,1
I never want to use hydrocodone again,1
My family supported my ketamine recovery,1
The animated movie was amazing last night,0
I had a productive day at the beach,0
Long-term codeine use causes serious damage,1
My basketball team won the game yesterday,0
The badminton match was exciting,0
Overdosing on psilocybin can be fatal,1
I love the smell of fresh beans,0
Recovery from vicodin takes time and commitment,1
Seeking help for vicodin addiction was the best decision,1
People with ketamine addiction need support,1
The western movie made me laugh,0
Rehab helped me quit hydrocodone,1
Medical treatment for crack requires expertise,1
Overdosing on suboxone can be fatal,1
My writing hobby has become my passion,0
My friend has been struggling with heroin use,1
Rehab helped me quit ketamine,1
pcpx addiction is a serious problem,1
Rehab helped me quit valium,1
My garden has beautiful river,0
kratom addiction is a serious problem,1
My garden has beautiful canyon,0
"The weather is stormy today, perfect for camping",0
The book club discussed a horror novel,0
I enjoy music in my free time,0
The dangers of weed are well-documented,1
The book club discussed a romance novel,0
I discovered a new dancing I really enjoy,0
I'm in recovery from synthetic cannabis,1
I took codeine yesterday for sleep,1
Treatment for oxycodone dependency requires professional help,1
The rainy weather ruined my climbing,0
The action movie made me laugh,0
I enjoy reading in my free time,0
I spent the afternoon drawing,0
I'm planning a trip to the lake,0
The hot weather ruined my cycling,0
I had a productive day at the gym,0
I baked ice cream from scratch today,0
Medical treatment for ghb requires expertise,1
I've been sober from ghb for 6 months,1
Overdosing on mescaline can be fatal,1
The vacation at the cave was wonderful,0
I never want to use khat again,1
The documentary movie made me laugh,0
My opium habit cost me everything,1
I'm in recovery from crack,1
Treatment for codeine dependency requires professional help,1
The dangers of dmt are well-documented,1
My the mall colleagues are very friendly,0
My family supported my cannabis recovery,1
Getting clean from lsd changed my life,1
Staying clean from oxycodone is challenging,1
The cake I made tasted delicious,0
I baked beans from scratch today,0
The sunset was beautiful at the canyon,0
The horror movie made me laugh,0
My baseball team won the game yesterday,0
The volleyball match was exciting,0
cocaine is commonly misused for medical reasons,1
I enjoy gardening in my free time,0
My family supported my heroin recovery,1
I enjoy drawing in my free time,0
The vacation at the beach was wonderful,0
My family loves beans for dinner,0
My collecting hobby has become my passion,0
The sci-fi movie made me laugh,0
valium can be highly addictive and dangerous,1
lsd is commonly misused for self-medication,1
Watching fantasy movies relaxes me,0
I've been sober from morphine for 1 year,1
The fish I made tasted delicious,0
Seeking help for meth addiction was the best decision,1
The football match was exciting,0
heroin can be highly addictive and dangerous,1
I took ecstasy yesterday for sleep,1
The side effects of mdma are severe,1
Watching horror movies relaxes me,0
I had a productive day at the beach,0
The park was crowded with people skating,0
The side effects of fentanyl are severe,1
My friend has been struggling with cocaine use,1
My garden has beautiful forest,0
I took oxycodone yesterday for recreation,1
My family loves cake for dinner,0
I love eating chicken on weekends,0
hydrocodone addiction is a serious problem,1
The effects of gbl wear off quickly,1
My bath salts habit cost me everything,1
My garden has beautiful waterfall,0
The vacation at the cave was wonderful,0
People with opium addiction need support,1
I took pcpx yesterday for sleep,1
My family loves steak for dinner,0
Rehab helped me quit dmt,1
My cooking hobby has become my passion,0
codeine abuse has serious health consequences,1
I baked yogurt from scratch today,0
My garden has beautiful desert,0
My family supported my weed recovery,1
Recovery from ketamine takes time and commitment,1
The dangers of percocet are well-documented,1
Treatment for cannabis dependency requires professional help,1
The book club discussed a romance novel,0
My family loves cake for dinner,0
Mixing methadone with alcohol is deadly,1
Reading science fiction books is my favorite activity,0
My the cafe colleagues are very friendly,0
My basketball team won the game yesterday,0
Seeking help for codeine addiction was the best decision,1
I practiced writing for three hours,0
I went soccer with my friends yesterday,0
The pizza dessert was perfectly made,0
The book club discussed a fantasy novel,0
"The weather is cold today, perfect for walking",0
Overdosing on spice can be fatal,1
The sunset was beautiful at the valley,0
My friend has been struggling with ketamine use,1
My friend has been struggling with opioids use,1
My family supported my xanax recovery,1
Cooking pasta is my weekend ritual,0
My garden has beautiful forest,0
Synthetic khat is extremely dangerous,1
I'm in recovery from marijuana,1
The sunset was beautiful at the forest,0
"The weather is sunny today, perfect for hiking",0
The dangers of spice are well-documented,1
Recovery from opioids takes time and commitment,1
The vacation at the meadow was wonderful,0
Cooking yogurt is my weekend ritual,0
ghb withdrawal symptoms include muscle aches,1
I watched a great animated film at the cinema,0
Reading self-help books is my favorite activity,0
My music hobby has become my passion,0
I took methcathinone yesterday for sleep,1
The foggy weather ruined my climbing,0
I'm in recovery from codeine,1
The park was crowded with people climbing,0
The park was crowded with people jogging,0
I went football with my friends yesterday,0
I spent the afternoon reading,0
I enjoy gaming in my free time,0
I'm planning a trip to the desert,0
Getting clean from methadone changed my life,1
xanax can be highly addictive and dangerous,1
My boxing team won the game yesterday,0
I discovered a new cooking I really enjoy,0
"The weather is foggy today, perfect for hiking",0
tramadol addiction is a serious problem,1
I'm in recovery from vicodin,1
I went rugby with my friends yesterday,0
crack abuse has serious health consequences,1
Overdosing on ghb can be fatal,1
My family supported my methadone recovery,1
I discovered a new collecting I really enjoy,0
I'm planning a trip to the waterfall,0
Rehab helped me quit psilocybin,1
I baked ice cream from scratch today,0
I spent the afternoon photography,0
codeine addiction is a serious problem,1
People with kratom addiction need support,1
I went tennis with my friends yesterday,0
I had a productive day at the gym,0
The action movie was amazing last night,0
I took cocaine yesterday for medical reasons,1
Synthetic valium is extremely dangerous,1
I went golf with my friends yesterday,0
I watched a great documentary film at the cinema,0
Synthetic hydrocodone is extremely dangerous,1
Long-term ghb use causes serious damage,1
Recovery from opioids takes time and commitment,1
Street dilaudid is often contaminated,1
I'm in recovery from opioids,1
The book club discussed a horror novel,0
Medical treatment for khat requires expertise,1
My school colleagues are very friendly,0
My gardening hobby has become my passion,0
I love the smell of fresh steak,0
Withdrawing from spice is very difficult,1
Medical treatment for percocet requires expertise,1
ecstasy withdrawal symptoms include headaches,1
I went basketball with my friends yesterday,0
The honey dessert was perfectly made,0
The vacation at the river was wonderful,0
The golf match was exciting,0
Mixing synthetic cannabis with alcohol is deadly,1
I love eating pizza on weekends,0
Getting clean from methcathinone changed my life,1
Seeking help for xanax addiction was the best decision,1
My basketball team won the game yesterday,0
The doctor prescribed crack for my insomnia,1
The bread I made tasted delicious,0
Getting clean from dilaudid changed my life,1
I watched a great fantasy film at the cinema,0
Getting clean from crack changed my life,1
The effects of kratom wear off quickly,1
The boxing match was exciting,0
The effects of pcpx wear off quickly,1
The side effects of ghb are severe,1
My family loves fruit for dinner,0
Street tramadol is often contaminated,1
Overdosing on psilocybin can be fatal,1
I'm planning a trip to the cave,0
I watched a great thriller film at the cinema,0
The animated movie was amazing last night,0
Overdosing on pcpx can be fatal,1
The dangers of vicodin are well-documented,1
The doctor prescribed benzos for my inflammation,1
Street dilaudid is often contaminated,1
The drama movie was amazing last night,0
I love the smell of fresh cheese,0
Overdosing on psilocybin can be fatal,1
The western movie made me laugh,0
The book club discussed a fantasy novel,0
I spent the afternoon painting,0
The park was crowded with people picnicking,0
Reading historical books is my favorite activity,0
hydrocodone withdrawal symptoms include chills,1
My family loves cookies for dinner,0
Watching thriller movies relaxes me,0
I never want to use spice again,1
Synthetic dmt is extremely dangerous,1
I'm planning a trip to the river,0
Street valium is often contaminated,1
Getting clean from vicodin changed my life,1
The salad I made tasted delicious,0
"The weather is rainy today, perfect for fishing",0
The book club discussed a self-help novel,0
Street lsd is often contaminated,1
gbl addiction is a serious problem,1
weed abuse has serious health consequences,1
hydrocodone is commonly misused for peer pressure,1
cannabis is commonly misused for anxiety relief,1
The comedy movie made me laugh,0
I love the smell of fresh salad,0
Overdosing on weed can be fatal,1
Staying clean from codeine is challenging,1
I discovered a new collecting I really enjoy,0
The park was crowded with people skating,0
morphine withdrawal symptoms include depression,1
Long-term ecstasy use causes serious damage,1
Withdrawing from methadone is very difficult,1
kratom can be highly addictive and dangerous,1
Long-term vicodin use causes serious damage,1
My family supported my lsd recovery,1
Synthetic benzos is extremely dangerous,1
Medical treatment for fentanyl requires expertise,1
Cooking rice is my weekend ritual,0
The rainy weather ruined my cycling,0
Cooking ice cream is my weekend ritual,0
Synthetic mescaline is extremely dangerous,1
I've been sober from ecstasy for 10 years,1
The side effects of codeine are severe,1
The vacation at the meadow was wonderful,0
Getting clean from tramadol changed my life,1
Medical treatment for spice requires expertise,1
My family loves bread for dinner,0
The doctor prescribed xanax for my injury,1
The chicken I made tasted delicious,0
I baked salad from scratch today,0
I enjoy drawing in my free time,0
Watching comedy movies relaxes me,0
I never want to use psilocybin again,1
Staying clean from lsd is challenging,1
I'm in recovery from meth,1
opium can be highly addictive and dangerous,1
Mixing pcpx with alcohol is deadly,1
methcathinone abuse has serious health consequences,1
The burger dessert was perfectly made,0
Cooking pasta is my weekend ritual,0
The pizza dessert was perfectly made,0
Getting clean from spice changed my life,1
The effects of fentanyl wear off quickly,1
Medical treatment for psilocybin requires expertise,1
meth is commonly misused for anxiety relief,1
The adventure movie was amazing last night,0
opioids abuse has serious health consequences,1
My family loves bread for dinner,0
The animated movie was amazing last night,0
The vacation at the waterfall was wonderful,0
The bread I made tasted delicious,0
